3100101,1,29,31001_01,"","","","","","","","",""
3100101,30,59,31001_03,"","","","","","","","",""
3100101,60,-1,31001_05,"","","","","","","","",""
3100102,1,29,31001_01,31001_01,"","","","","","","",""
3100102,30,59,31001_03,31001_03,"","","","","","","",""
3100102,60,-1,31001_05,31001_05,"","","","","","","",""
3100103,1,29,31001_01,31001_01,31001_01,"","","","","","",""
3100103,30,59,31001_03,31001_03,31001_03,"","","","","","",""
3100103,60,-1,31001_05,31001_05,31001_05,"","","","","","",""
3100104,1,29,31001_01,31001_01,31001_01,31001_01,"","","","","",""
3100104,30,59,31001_03,31001_03,31001_03,31001_03,"","","","","",""
3100104,60,-1,31001_05,31001_05,31001_05,31001_05,"","","","","",""
