tower_ex_quest_id,tower_area_id,floor_num,stamina,stamina_start,team_exp,limit_time,reward_image_1,reward_count_1,reward_image_2,reward_count_2,reward_image_3,reward_count_3,reward_image_4,reward_count_4,reward_image_5,reward_count_5,additional_reward_type,additional_reward_id,fix_reward_group_id,chest_id,background,bg_position,wave_group_id,enemy_position_x_1,enemy_local_position_y_1,enemy_size_1,enemy_position_x_2,enemy_local_position_y_2,enemy_size_2,enemy_position_x_3,enemy_local_position_y_3,enemy_size_3,enemy_position_x_4,enemy_local_position_y_4,enemy_size_4,enemy_position_x_5,enemy_local_position_y_5,enemy_size_5,wave_bgm,clp_flag,skip_level
72010070,1,70,0,0,0,90,140000,1,91002,300,90005,30,94002,100000,0,0,0,0,2200101,40001,101182,0,720100701,-335,0,0.7,-168,0,0.7,-1,-20,1.0,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72020110,2,110,0,0,0,90,140000,1,91002,300,90005,30,94002,100000,0,0,0,0,2200102,40001,101312,0,720201101,-335,0,0.7,-168,0,0.7,-1,-20,0.7,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72030130,3,130,0,0,0,90,140000,1,91002,300,90005,30,94002,100000,0,0,0,0,2200103,40001,101322,0,720301301,-335,0,0.7,-168,0,0.7,-1,0,0.8,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72040150,4,150,0,0,0,90,140000,1,91002,300,90005,30,94002,100000,0,0,0,0,2200104,40001,101372,0,720401501,-335,0,0.7,-168,0,0.7,-1,-20,0.7,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72050170,5,170,0,0,0,90,140000,1,91002,300,90005,30,94002,100000,0,0,0,0,2200105,40001,101492,0,720501701,-335,0,0.7,-168,0,0.7,-1,10,1.1,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72060190,6,190,0,0,0,90,140000,1,91002,300,90005,30,94002,100000,0,0,0,0,2200106,40001,101502,0,720601901,-335,0,0.7,-168,0,0.7,-1,10,1.0,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72070210,7,210,0,0,0,90,140000,1,91002,300,90005,30,94002,200000,0,0,0,0,2200107,40001,101512,0,720702101,-335,0,0.7,-168,0,0.7,-1,10,1.0,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72080230,8,230,0,0,0,90,140000,1,91002,300,90005,30,94002,200000,0,0,0,0,2200108,40001,101523,0,720802301,-301,0,0.7,-101,0,0.7,99,-10,0.7,299,0,0.7,0,0,0.0,bgm_M126,1,-1
72090250,9,250,0,0,0,90,140000,1,91002,300,90005,30,94002,200000,0,0,0,0,2200109,40001,101722,0,720902501,-301,0,0.7,-101,0,0.7,99,-10,1.1,299,0,0.7,0,0,0.0,bgm_M126,1,-1
72100270,10,270,0,0,0,90,140000,1,91002,300,90005,30,94002,300000,0,0,0,0,2200110,40001,101812,0,721002701,-335,0,0.7,-168,0,0.7,-1,10,0.9,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72110290,11,290,0,0,0,90,140000,1,91002,300,90005,30,94002,300000,0,0,0,0,2200111,40001,101892,0,721102901,-335,0,0.7,-168,0,0.7,-1,10,0.9,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72120310,12,310,0,0,0,90,140000,1,91002,300,90005,30,94002,300000,0,0,0,0,2200112,40001,101902,0,721203101,-335,0,0.7,-168,0,0.75,-1,10,0.7,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72130330,13,330,0,0,0,90,140000,1,91002,300,90005,30,94002,300000,0,0,0,0,2200113,40001,101912,0,721303301,-335,0,0.7,-168,0,0.7,-1,10,0.9,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72140350,14,350,0,0,0,90,140000,1,91002,300,90005,30,94002,300000,0,0,0,0,2200114,40001,102142,0,721403501,-335,0,0.7,-168,0,0.7,-1,10,0.9,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72150360,15,360,0,0,0,90,140000,1,91002,300,90005,30,94002,400000,0,0,0,0,2200115,40001,102152,0,721503601,-335,0,0.7,-168,0,0.7,-1,-40,0.9,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72160370,16,370,0,0,0,90,140000,1,91002,300,90005,30,94002,480000,0,0,0,0,2200116,40001,102152,0,721603701,-335,0,0.7,-168,0,0.7,-1,-40,0.9,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72170380,17,380,0,0,0,90,140000,1,91002,300,90005,30,94002,480000,0,0,0,0,2200117,40001,102162,0,721703801,-335,0,0.7,-168,0,0.7,-1,0,0.9,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72180390,18,390,0,0,0,90,140000,1,91002,300,90005,30,94002,560000,0,0,0,0,2200118,40001,102162,0,721803901,-335,0,0.7,-168,0,0.7,-1,0,0.9,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72190400,19,400,0,0,0,90,140000,1,91002,300,90005,30,94002,560000,0,0,0,0,2200119,40001,102322,0,721904001,-335,0,0.7,-168,0,0.7,-1,0,0.9,166,0,0.7,333,0,0.7,bgm_M126,1,-1
72200410,20,410,0,0,0,90,140000,1,91002,300,90005,30,94002,640000,0,0,0,0,2200120,40001,102322,0,722004101,-335,0,0.7,-168,0,0.7,-1,0,0.9,166,0,0.7,333,0,0.7,bgm_M126,1,-1
