unit_id,unit_name,prefab_id,motion_type,se_type,move_speed,search_area_width,atk_type,normal_atk_cast_time,cutin,cutin_star6,visual_change_flag,comment
200100,"Monkey King",200100,0,0,270,800,1,3.5,0,0,0,"[Physical] Long-ranged attack.\nA fiendish monkey that attacks\nfrom afar by lobbing boulders."
200200,"Balloon Bird",200200,0,0,270,800,1,3.0,0,0,0,"[Healing] Area healing.\nA bird-like monster that uses\nthe magic in its belly to heal allies."
200300,Gatekeeper,200300,0,0,270,200,2,3.5,0,0,0,"[Magic] Area attack.\nWatcher of the underworld that spews forth searing flames\nas it opens the doors of hell."
200400,Werewolf,200400,0,0,270,350,1,2.5,0,0,0,"[Physical] Short-ranged attack.\nA wolf-like monster that shreds\nits enemies with its sharp claws."
200500,"Wild Horn",200500,0,16,270,200,1,3.0,0,0,0,"[Physical] Short-ranged attack.\nA deer-like monster that uses its\nlarge horns for both attack and\ndefense."
200501,"Snow Ram",200501,0,16,270,200,1,3.0,0,0,0,"[Physical] Short-ranged attack.\nA reindeer-like monster that lives in the mountains.\nBeneath its thick furs is a tough body."
200600,Ratton,200600,0,11,270,250,1,1.5,0,0,0,"[Physical] Short-ranged attack.\nThe weak attacks of this rat-like\nmonster land at furious speed."
200700,"Wood Soul",200700,0,17,270,400,2,3.0,0,0,0,"[Magic] Mid-ranged attack.\nThis decayed tree monster hurls\nbolts of magic into the midst\nof parties."
200701,"Cursed Statue",200701,0,17,270,400,2,3.0,0,0,0,"[Magic] Mid-ranged attack.\nA cursed stone statue that\nthrows balls of fire and\ninflicts additional burn damage."
200800,Biggle,200800,0,15,270,1080,1,3.5,0,0,0,"[Physical] Long-ranged attack.\nA mountain spirit with teeth\nstrong enough to eat rocks."
200801,Mookle,200801,0,15,270,1080,1,3.5,0,0,0,"[Physical] Long-ranged attack.\nA snowy mountain spirit that uses chunks of ice\nas both food and weapon."
200900,Stamp,200900,0,15,270,200,1,2.5,0,0,0,"[Physical] Front / Short-ranged\nA tree monster that wields its\nsupple limbs like whips."
200901,"Twisted Acacia",200901,0,15,270,200,1,2.5,0,0,0,"[Physical] Short-ranged attack.\nA tree-like monster that uses its\ntwisted branches to drag\nadventurers deeper into the\nforest."
200902,Treant,200902,0,15,270,200,1,0.5,0,0,0,"[Physical] Mid-ranged attack.\nA rotten tree monster that expertly extends its tendrils to attack its prey where it hurts the most."
200903,Treant,200902,0,15,270,3000,1,0.5,0,0,0,"[Physical] Mid-ranged attack.\nA rotten tree monster that expertly extends its tendrils to attack its prey where it hurts the most."
201000,"Flaming Skulls",201000,0,17,270,1080,2,3.0,0,0,0,"[Magic] Mid-ranged attack.\nAn accumulation of grudges surrounded by flames of hell\nthat attacks the living."
201100,Kobold,201100,0,15,270,650,1,3.5,0,0,0,"[Physical] Mid-ranged attack.\nA wolven creature that wields\nbones bound together like a\nboomerang."
201101,"Kobold Assassin",201101,0,15,270,650,1,0.5,0,0,0,"[Physical] Mid-ranged attack.\nA canine monster that toys with its enemies, evading them with nimble steps, then hurls deadly knives as soon as they show weakness."
201200,Golem,201200,0,16,270,150,1,5.0,0,0,0,"[Physical] Short-ranged attack.\nA monster of stone whose\nsturdy body grants it solid\noffense and defense."
201201,"Blue Golem",201201,0,16,270,150,1,5.0,0,0,0,"[Physical] [Magic Defense] Short-ranged attack.\nA magic-resistant golem born from magic boulders."
201300,"Rock Flower",201300,0,15,270,800,1,3.5,0,0,0,"[Physical] Mid-ranged attack.\nA flower made from stone that\nattacks with bullet-like\npebbles."
201301,"Mad Flower",201301,0,15,270,800,1,3.5,0,0,0,"[Physical] Mid-ranged attack.\nThe flower on its tail gives off a\nterrible stench, though the smell\neventually becomes addictive."
201302,"Cactus Flower",201302,0,15,270,800,1,3.5,0,0,0,"[Physical] Mid-ranged attack.\nA moving cactus that shoots out\ncountless paralyzing needles."
201400,"Elder Cloud",201400,0,0,270,1080,2,3.0,0,0,0,"[Magic] [Support] Area attack.\nA cloud-like monster that can manipulate the weather at will\nand shoot bolts of lightning."
201500,"Jellyfish Diver",201500,0,0,270,780,2,3.0,0,0,0,"[Healing] Area healing.\nA jellyfish-like monster that can fight on land\nby storing water in its diving suit."
201600,Dryad,201600,0,15,270,800,2,2.5,0,0,0,"[Magic] [Summon] Short-ranged\nattack.\nA roaming forest spirit that can\nuse earth magic to summon\nmagic mushrooms."
201602,Nymph,201602,0,15,270,800,2,2.5,0,0,0,"[Magic] Mid-ranged attack.\nA forest spirit that's always looking for someone to play tricks on."
201700,"Stone Knight",201700,0,16,270,150,1,4.0,0,0,0,"[Physical] [Magic Defense] Short-ranged attack.\nA living statue that repels all magic attacks with its shield."
201800,"Stone Warrior",201800,0,5,270,150,1,4.0,0,0,0,"[Physical] [Physical Defense] Short-ranged attack.\nA living statue that repels all physical attacks with its sword."
201900,"Sludge Salamander",201900,0,0,270,1080,1,3.0,0,0,0,"[Physical] Long-ranged attack.\nA salamander-like monster that lives in the sludge of swamps\nand shoots strong poison\nfrom its mouth."
201901,"Magma Salamander",201901,0,0,270,1080,1,3.0,0,0,0,"[Physical] Long-ranged attack.\nAn amphibious monster that conceals itself in bubbling magma, only emerging to spit scorching fluids at those who come too close."
202000,"Turtle Tyrant",202000,0,16,270,150,1,5.5,0,0,0,"[Physical] [Physical Defense]\nShort-ranged attack.\nA massive turtle-like monster\nthat can repel any physical\nattack with its shell."
202100,Glowshroom,202100,0,14,270,200,1,2.0,0,0,0,"[Physical] Short-ranged attack.\nA mushroom spirit that sprouts endlessly\nin response to a Dryad's summoning."
202101,"Red Mushroom",202101,0,14,270,200,1,2.0,0,0,0,"[Physical] Short-ranged attack.\nA walking mushroom that is surprisingly delicious\nwhen cooked."
202200,Rabbicorn,202200,0,15,270,650,2,3.5,0,0,0,"[Magic] Short-ranged attack.\nA rabbit-like monster that can\nflap its large ears to propel\nitself forward."
202300,"Fire Mage",202300,0,17,270,1080,2,3.5,0,0,0,"[Magic] Long-ranged attack.\nA high-ranked demon that\nsummons fire from hell with\nits magic."
202400,"Cave Ape",202400,0,12,270,750,1,3.0,0,0,0,"[Physical] Short-ranged attack.\nA large, ape-like monster with\narm muscles strong enough to\nswing among stalactites."
202500,"Cave Bat",202500,0,15,270,550,2,3.5,0,0,0,"[Magic] Short-ranged attack.\nA cave-dwelling, bat-like\nmonster that attacks upon\nhearing the footsteps of its prey."
202600,"Cave Snail",202600,0,0,270,750,2,4.0,0,0,0,"[Healing] Area healing.\nA snail-like monster rumored to\nsecrete slime that is good for\nthe skin."
202700,"Hermit Knight",202700,0,6,270,350,1,3.0,0,0,0,"[Physical] Short-ranged attack.\nA hermit crab warrior that uses\nthe helmet of a defeated knight\nas its shell."
202800,"Wandering Crow",202800,0,4,270,650,1,3.0,0,0,0,"[Physical] Area attack.\nA wandering crow that has\ndefeated strong monsters around Astrum."
202802,"Wandering Kite",202802,0,4,270,650,1,2.6,0,0,0,"[Physical] Area attack.\nA black kite that longs to live and die\nin the wilderness\nas a lone traveler."
202900,Poidon,202900,0,14,270,200,1,2.5,0,0,0,"[Physical] Short-ranged attack.\nA poisonous, lizard-like monster\nthat leaves fatal bite wounds\nwith its sharp teeth."
202901,"Rock Lizard",202901,0,14,270,200,1,3.0,0,0,0,"[Physical] Short-ranged attack.\nA rock lizard-like monster\nwhose head is as tough as\nan armor."
202902,"Grass Lizard",202902,0,14,270,200,1,3.0,0,0,0,"[Physical] Short-ranged attack.\nA fashionista among lizards with vibrant leaves on its collar."
202903,"Rock Lizard",202903,0,14,270,2050,1,3.0,0,0,0,"[Physical] Short-ranged attack.\nA rock lizard-like monster\nwhose head is as tough as\nan armor."
202904,"Lava Lizard",202904,0,14,270,200,1,0.5,0,0,0,"[Physical] Short-ranged attack.\nA lizard monster that torments opponents with repeated blows. It keeps its body warm by burning its own tail."
202905,"Mine Lizard",202905,0,14,270,100,1,3.0,0,0,0,"[Physical] Short-ranged attack.\nA rock lizard that lives off the leftovers of its High Garoog benefactor. The magical energies of Luna have altered its rocky hide to be far more resilient."
203000,Gellatina,203000,0,15,270,200,2,2.0,0,0,0,"[Magic] Short-ranged attack.\nPhysical attacks don't land\neasily on the slick form of this\nslime."
203001,"Fire Gellatina",203001,0,15,270,200,2,2.0,0,0,0,"[Magic] Short-ranged attack.\nA violent Gellatina that was\ncaught in a forest fire and\nset alight."
203100,Wyrmling,203100,0,17,270,800,2,3.5,0,0,0,"[Magic] Short-ranged attack.\nThe ferocious flames this\nfledgling wyrm breathes bely\nits small size."
203200,Imp,203200,0,12,270,650,2,3.5,0,0,0,"[Magic] Short-ranged attack.\nA trainee demon that scratches\nwith its abnormally large claws."
203300,"Goblin Guard",203300,0,15,270,150,1,4.0,0,0,0,"[Physical] Short-ranged attack.\nA trainee goblin soldier who\nprotects its allies with a large\nshield almost as big as itself."
203301,"Jungle Guard",203301,0,15,270,150,1,4.0,0,0,0,"[Physical] Short-ranged attack.\nA protector of the jungle that wards off invaders and\nintimidates its enemies with a large, face-like shield."
203302,"Goblin Guard",203300,0,15,270,50,1,4.0,0,0,0,"[Physical] Short-ranged attack.\nA trainee goblin soldier who\nprotects its allies with a large\nshield almost as big as itself."
203400,"Fire Lover",203400,0,0,270,800,2,4.0,0,0,0,"[Healing] Single target healing.\nA mysterious firefly, the nectar accumulated in its abdomen is a source of nutrition for monsters."
203402,"Fire Lover",203400,0,0,270,3000,2,4.0,0,0,0,"[Healing] Single target healing.\nA mysterious firefly, the nectar accumulated in its abdomen is a source of nutrition for monsters."
203500,"Drill Mole",203500,0,16,270,750,1,3.5,0,0,0,"[Physical] Mid-ranged attack.\nA mole-like monster that digs\nunderground to attack from\nunder its enemies' feet."
203501,"Ice Mole",203501,0,16,270,750,1,3.5,0,0,0,"[Physical] Mid-ranged attack.\nA mole monster adapted to snowy environments, it uses its specialized claws to carve ice into deadly projectiles."
203700,"Squirrel Gunner",203700,0,15,270,350,1,2.5,0,0,0,"[Physical] Area attack.\nA nasty, squirrel-like monster\nthat throws the shells of nuts\nafter eating them."
203702,Stinkskunk,203702,0,15,270,350,1,2.5,0,0,0,"[Physical] A skunk monster that repulses its opponents using foul-smelling gas bombs."
203703,Stinkskunk,203702,0,15,270,100,1,2.5,0,0,0,"[Physical] A skunk monster that repulses its opponents using foul-smelling gas bombs."
203800,Orc,203800,0,13,270,200,1,2.5,0,0,0,"[Physical] Short-ranged attack.\nA savage, axe-wielding\nBeastman who wears the\narmor of adventurers it defeats."
203801,"High Orc",203801,0,13,270,200,1,2.5,0,0,0,"[Physical] Short-ranged attack.\nA high-ranked orc with a tough\nbody honed from rigorous\ntraining."
203900,"Evil Cannon",203900,0,16,270,1080,1,4.0,0,0,0,"[Physical] Short-ranged attack.\nA living cannon that, after many\nyears of use, is now inhabited\nby an evil spirit."
204000,Mini-Gryphon,204000,0,15,270,650,1,3.5,0,0,0,"[Physical] Close-range.\nA baby gryphon. Its wings are still too small for it to fly."
204200,"Alto Bird",204200,0,0,270,450,2,4.0,0,0,0,"[Healing] Area healing.\nA famous singer among bird\nmonsters, its song of healing\nis heard far and wide."
204300,"Poison Pod",204300,0,15,270,750,1,2.5,0,0,0,"[Physical] Short-ranged attack.\nUses the corrosive liquid inside\nits wide-open mouth to eat\ncaptured prey."
204301,"Poison Pod",204300,0,15,270,3000,1,2.5,0,0,0,"[Physical] Short-ranged attack.\nUses the corrosive liquid inside\nits wide-open mouth to eat\ncaptured prey."
