id,sekai_id,add_times,add_times_limit,add_times_time,duration
1,1001,6,10,"2022/04/01 00:00:00",0
2,1001,2,10,"2022/04/01 02:00:00",120
3,1001,2,10,"2022/04/01 04:00:00",120
4,1001,2,10,"2022/04/01 06:00:00",120
5,1001,2,10,"2022/04/01 08:00:00",120
6,1001,2,10,"2022/04/01 10:00:00",120
7,1001,2,10,"2022/04/01 12:00:00",120
8,1001,2,10,"2022/04/01 14:00:00",120
9,1001,2,10,"2022/04/01 16:00:00",120
10,1001,2,10,"2022/04/01 18:00:00",120
11,1001,2,10,"2022/04/01 20:00:00",120
12,1001,2,10,"2022/04/01 22:00:00",120
