id,scenario_idx,unit_pos_no,delay,affect_type,anime_id,icon_id
1,1,1,0,1,1,0
1,2,2,0,1,4,0
1,3,1,0,1,5,12
1,4,2,0,1,2,0
1,5,1,0,2,8,0
2,1,1,0,1,1,0
2,2,2,0,1,1,0
2,3,1,0,1,6,0
2,4,2,0,1,1,0
2,5,3,0,1,1,0
2,6,1,0,3,3,11
2,7,2,0,1,1,0
2,8,1,0,1,3,0
2,9,1,0,2,1,0
3,1,1,0,1,1,0
3,2,2,0,1,10,0
3,3,1,0,1,11,0
3,4,2,0,1,5,0
3,5,3,0,1,6,0
3,6,3,0,1,3,0
3,7,4,0,2,3,9
3,8,4,0,1,7,0
3,9,4,0,1,1,0
3,10,1,0,3,9,8
3,11,2,0,1,4,0
3,12,1,0,1,1,0
3,13,4,0,1,3,0
3,14,3,0,2,3,11
4,1,1,0,1,4,10
4,2,1,0,1,12,12
4,3,2,0,1,1,10
4,4,1,0,1,11,4
4,5,2,0,1,1,0
4,6,1,0,1,4,13
4,7,2,0,1,2,6
4,8,1,0,1,8,0
4,9,2,0,1,8,10
5,1,1,0,1,1,10
5,2,2,0,1,11,5
5,3,1,0,1,1,7
5,4,2,0,1,5,12
5,5,1,0,1,1,11
5,6,2,0,1,3,4
5,7,2,0,1,5,12
5,8,1,0,1,2,6
5,9,2,0,1,11,4
5,10,1,0,1,8,8
5,11,1,0,1,4,10
5,12,2,0,1,5,10
6,1,1,0,1,8,7
6,2,2,0,1,4,10
6,3,1,0,1,1,11
6,4,2,0,1,8,8
6,5,1,0,1,11,6
6,6,1,0,2,2,7
6,7,1,0,1,5,4
6,8,2,0,1,4,10
6,9,1,0,2,10,13
7,1,1,0,1,8,7
7,2,2,0,1,12,10
7,3,2,0,1,4,12
7,4,1,0,1,11,7
7,5,1,0,1,1,10
7,6,2,0,1,5,12
7,7,2,0,1,5,11
7,8,2,0,1,8,10
7,9,1,0,1,2,8
7,10,1,0,1,8,7
7,11,2,0,1,4,9
8,1,1,0,2,1,10
8,2,2,0,1,12,10
8,3,1,0,1,12,5
8,4,1,0,1,5,12
8,5,2,0,1,1,10
8,6,1,0,1,5,12
8,7,1,0,1,5,12
8,8,2,0,1,1,10
8,9,2,0,1,8,9
8,10,1,0,2,4,9
9,1,1,0,1,4,8
9,2,1,0,1,5,10
9,3,2,0,1,4,7
9,4,2,0,1,6,8
9,5,1,0,1,1,10
9,6,1,0,1,11,11
9,7,1,0,1,1,6
9,8,2,0,1,5,8
9,9,2,0,1,8,7
9,10,1,0,1,4,6
10,1,2,0,1,11,10
10,2,1,0,1,1,7
10,3,1,0,2,8,8
10,4,2,0,1,5,9
10,5,1,0,1,10,8
10,6,1,0,2,1,7
10,7,1,0,2,2,6
