id,unit_id,sheet_id,voice_id,title,description
10010101,100101,vo_btl_100101,vo_btl_100101_win_001,"Win 1",""
10010102,100101,vo_btl_100101,vo_btl_100101_win_002,"Win 2",""
10010103,100101,vo_btl_100101,vo_btl_100101_win_003,"Win 3",""
10010104,100101,vo_btl_100101,vo_btl_100101_lose_001,"Loss 1",""
10010105,100101,vo_btl_100101,vo_btl_100101_lose_002,"Loss 2",""
10010106,100101,vo_btl_100101,vo_btl_100101_lose_003,"Loss 3",""
10010107,100101,vo_btl_100101,vo_btl_100101_retire_001,"Faint 1",""
10010108,100101,vo_btl_100101,vo_btl_100101_retire_002,"Faint 2",""
10010109,100101,vo_btl_100101,vo_btl_100101_retire_003,"Faint 3",""
10010110,100101,vo_btl_100101,vo_btl_100101_cutin_001,"Skill Cut-in 1",""
10010111,100101,vo_btl_100101,vo_btl_100101_cutin_002,"Skill Cut-in 2",""
10010112,100101,vo_btl_100101,vo_btl_100101_cutin_003,"Skill Cut-in 3",""
10010113,100101,vo_btl_100101,vo_btl_100101_skill_000_001,"Union Burst 1",""
10010114,100101,vo_btl_100101,vo_btl_100101_skill_000_002,"Union Burst 2",""
10010115,100101,vo_btl_100101,vo_btl_100101_skill_000_003,"Union Burst 3",""
10010116,100101,vo_btl_100101,vo_btl_100101_wavestart,"Start Battle",""
10010117,100101,vo_btl_100101,vo_btl_100101_nextwave,"Next Wave Incoming",""
10010118,100101,vo_btl_100101,vo_btl_100101_lastwave,"Final Wave Incoming",""
10010119,100101,vo_cmn_100101,vo_cmn_100101_battlestart_001,"Battle Loading Screen",""
10010120,100101,vo_cmn_100101,vo_cmn_100101_battleresult_001,"Battle Result 1",""
10010121,100101,vo_cmn_100101,vo_cmn_100101_battleresult_002,"Battle Result 2",""
10010122,100101,vo_cmn_100101,vo_cmn_100101_mypage_001,"Home 1",""
10010123,100101,vo_cmn_100101,vo_cmn_100101_mypage_002,"Home 2",""
10010124,100101,vo_cmn_100101,vo_cmn_100101_mypage_003,"Home 3",""
10010125,100101,vo_cmn_100101,vo_cmn_100101_mypage_004,"Home 4",""
10010126,100101,vo_cmn_100101,vo_cmn_100101_mypage_005,"Home 5",""
10010127,100101,vo_cmn_100101,vo_cmn_100101_gacha_001,"Gacha Appearance Line",""
10010128,100101,vo_cmn_100101,vo_cmn_100101_profile_001,"Self Intro",""
10010129,100101,vo_room_100101,vo_room_100101_auto_001,"Guildhouse 1",""
10010130,100101,vo_room_100101,vo_room_100101_auto_002,"Guildhouse 2",""
10010131,100101,vo_room_100101,vo_room_100101_auto_003,"Guildhouse 3",""
10010132,100101,vo_room_100101,vo_room_100101_auto_004,"Guildhouse 4",""
10010133,100101,vo_room_100101,vo_room_100101_auto_005,"Guildhouse 5",""
10010134,100101,vo_room_100101,vo_room_100101_tap_001,"Guildhouse Tap 1",""
10010135,100101,vo_room_100101,vo_room_100101_tap_002,"Guildhouse Tap 2",""
10010136,100101,vo_room_100101,vo_room_100101_tap_003,"Guildhouse Tap 3",""
10010137,100101,vo_room_100101,vo_room_100101_tap_004,"Guildhouse Tap 4",""
10010201,100102,vo_btl_100102,vo_btl_100102_win_001,"Win 1",""
10010202,100102,vo_btl_100102,vo_btl_100102_win_002,"Win 2",""
10010203,100102,vo_btl_100102,vo_btl_100102_win_003,"Win 3",""
10010204,100102,vo_btl_100102,vo_btl_100102_lose_001,"Loss 1",""
