quest_id,time
401,10
402,10
1001,20
1002,20
1003,20
1000101,20
1000102,20
1000201,20
1000202,20
1000301,20
1000302,20
2200001,5
2200002,5
2200003,5
2200010,5
2200011,5
2200012,5
2200018,5
2200034,5
2200046,5
2200052,5
2200058,5
2200059,5
2200060,5
10003101,20
10003102,20
10003103,20
10003104,20
10003105,20
10003106,20
10003107,20
10003108,20
10003109,20
10003110,20
10003111,20
10003112,20
10003113,20
10003114,20
10003115,20
10003201,20
10003202,20
10003203,20
10003204,20
10003205,20
10004101,20
10004102,20
10004103,20
10004104,20
10004105,20
10004106,20
10004107,20
10004108,20
10004109,20
10004110,20
10004111,20
10004112,20
10004113,20
10004114,20
10004115,20
10004201,20
10004202,20
10004203,20
10004204,20
10004205,20
10005101,20
10005102,20
10005103,20
10005104,20
10005105,20
10005106,20
10005107,20
10005108,20
10005109,20
10005110,20
10005111,20
10005112,20
10005113,20
10005114,20
10005115,20
10005201,20
10005202,20
10005203,20
10005204,20
10005205,20
10006101,20
10006102,20
10006103,20
10006104,20
10006105,20
10006106,20
10006107,20
10006108,20
10006109,20
10006110,20
10006111,20
10006112,20
10006113,20
10006114,20
10006115,20
10006201,20
10006202,20
10006203,20
10006204,20
10006205,20
10007101,20
10007102,20
10007103,20
10007104,20
10007105,20
10007106,20
10007107,20
10007108,20
10007109,20
10007110,20
10007111,20
10007112,20
10007113,20
10007114,20
10007115,20
10007201,20
10007202,20
10007203,20
10007204,20
10007205,20
10008101,20
10008102,20
10008103,20
10008104,20
10008105,20
10008106,20
10008107,20
10008108,20
10008109,20
10008110,20
10008111,20
10008112,20
10008113,20
10008114,20
10008115,20
10008201,20
10008202,20
10008203,20
10008204,20
10008205,20
10009101,20
10009102,20
10009103,20
10009104,20
10009105,20
10009106,20
10009107,20
10009108,20
10009109,20
10009110,20
10009111,20
10009112,20
10009113,20
10009114,20
10009115,20
10009201,20
10009202,20
10009203,20
10009204,20
10009205,20
10010004,90
10010101,20
10010102,20
10010103,20
10010104,20
10010105,20
10010106,20
10010107,20
10010108,20
10010109,20
10010110,20
10010111,20
10010112,20
10010113,20
10010114,20
10010115,20
10010201,20
10010202,20
10010203,20
10010204,20
10010205,20
10011101,20
10011102,20
10011103,20
10011104,20
10011105,20
10011106,20
10011107,20
10011108,20
10011109,20
10011110,20
10011111,20
10011112,20
10011113,20
10011114,20
10011115,20
10011201,20
10011202,20
10011203,20
10011204,20
10011205,20
10012101,20
10012102,20
10012103,20
10012104,20
10012105,20
10012106,20
10012107,20
10012108,20
10012109,20
10012110,20
10012111,20
10012112,20
10012113,20
10012114,20
10012115,20
10012201,20
10012202,20
10012203,20
10012204,20
10012205,20
10013101,20
10013102,20
10013103,20
10013104,20
10013105,20
10013106,20
10013107,20
10013108,20
10013109,20
10013110,20
10013111,20
10013112,20
10013113,20
10013114,20
10013115,20
10013201,20
10013202,20
10013203,20
10013204,20
10013205,20
10014101,20
10014102,20
10014103,20
10014104,20
10014105,20
10014106,20
10014107,20
10014108,20
10014109,20
10014110,20
10014111,20
10014112,20
10014113,20
10014114,20
10014115,20
10014201,20
10014202,20
10014203,20
10014204,20
10014205,20
10015101,20
10015102,20
10015103,20
10015104,20
10015105,20
10015106,20
10015107,20
10015108,20
10015109,20
10015110,20
10015111,20
10015112,20
10015113,20
10015114,20
10015115,20
10015201,20
10015202,20
10015203,20
10015204,20
10015205,20
10016101,20
10016102,20
10016103,20
10016104,20
10016105,20
10016106,20
10016107,20
10016108,20
10016109,20
10016110,20
10016111,20
10016112,20
10016113,20
10016114,20
10016115,20
10016201,20
10016202,20
10016203,20
10016204,20
10016205,20
10017101,20
10017102,20
10017103,20
10017104,20
10017105,20
10017106,20
10017107,20
10017108,20
10017109,20
10017110,20
10017111,20
10017112,20
10017113,20
10017114,20
10017115,20
10017201,20
10017202,20
10017203,20
10017204,20
10017205,20
10018101,10
10018102,10
10018103,10
10018104,10
10018105,10
10018106,10
10018107,10
10018108,10
10018109,10
10018110,10
10018111,10
10018112,10
10018113,10
10018114,10
10018115,10
10018201,10
10018202,10
10018203,10
10018204,10
10018205,10
10019101,20
10019102,20
10019103,20
10019104,20
10019105,20
10019106,20
10019107,20
10019108,20
10019109,20
10019110,20
10019111,20
10019112,20
10019113,20
10019114,20
10019115,20
10019201,20
10019202,20
10019203,20
10019204,20
10019205,20
10020101,10
10020102,10
10020103,10
10020104,10
10020105,10
10020106,10
10020107,10
10020108,10
10020109,10
10020110,10
10020111,10
10020112,10
10020113,10
10020114,10
10020115,10
10020201,10
10020202,10
10020203,10
10020204,10
10020205,10
10021101,20
10021102,20
10021103,20
10021104,20
10021105,20
10021106,20
10021107,20
10021108,20
10021109,20
10021110,20
10021111,20
10021112,20
10021113,20
10021114,20
10021115,20
10021201,20
10021202,20
10021203,20
10021204,20
10021205,20
10022101,10
10022102,10
10022103,10
10022104,10
10022105,10
10022106,10
10022107,10
10022108,10
10022109,10
10022110,10
10022111,10
10022112,10
10022113,10
10022114,10
10022115,10
10022201,10
10022202,10
10022203,10
10022204,10
10022205,10
10023101,20
10023102,20
10023103,20
10023104,20
10023105,20
10023106,20
10023107,20
10023108,20
10023109,20
10023110,20
10023111,20
10023112,20
10023113,20
10023114,20
10023115,20
10023201,20
10023202,20
10023203,20
10023204,20
10023205,20
10024101,10
10024102,10
10024103,10
10024104,10
10024105,10
10024106,10
10024107,10
10024108,10
10024109,10
10024110,10
10024111,10
10024112,10
10024113,10
10024114,10
10024115,10
10024201,10
10024202,10
10024203,10
10024204,10
10024205,10
10025101,20
10025102,20
10025103,20
10025104,20
10025105,20
10025106,20
10025107,20
10025108,20
10025109,20
10025110,20
10025111,20
10025112,20
10025113,20
10025114,20
10025115,20
10025201,20
10025202,20
10025203,20
10025204,20
10025205,20
10026101,10
10026102,10
10026103,10
10026104,10
10026105,10
10026106,10
10026107,10
10026108,10
10026109,10
10026110,10
10026111,10
10026112,10
10026113,10
10026114,10
10026115,10
10026201,10
10026202,10
10026203,10
10026204,10
10026205,10
10027101,20
10027102,20
10027103,20
10027104,20
10027105,20
10027106,20
10027107,20
10027108,20
10027109,20
10027110,20
10027111,20
10027112,20
10027113,20
10027114,20
10027115,20
10027201,20
10027202,20
10027203,20
10027204,20
10027205,20
10028101,10
10028102,10
10028103,10
10028104,10
10028105,10
10028106,10
10028107,10
10028108,10
10028109,10
10028110,10
10028111,10
10028112,10
10028113,10
10028114,10
10028115,10
10028201,10
