comment_id,where_type,character_id,face_type,character_name,description,voice_id,start_time,end_time,pos_x,pos_y,change_face_time,change_face_type,event_id
10040001,53,190801,1,Karin,"Completing missions will earn you nifty rewards! Good luck!",1,"2023/04/02 23:00:00","2030/01/01 14:59:59",-416.5,0.0,3.414,2,10040
10040002,53,190801,1,Karin,"Complete missions to earn yourself rewards!",2,"2023/04/02 23:00:00","2030/01/01 14:59:59",-416.5,0.0,3.099,2,10040
10040003,54,190801,1,Karin,"Don't forget to collect your mission rewards!",3,"2023/04/02 23:00:00","2030/01/01 14:59:59",-416.5,0.0,2.801,2,10040
10040004,54,190801,2,Karin,"You've got rewards waiting to be collected!",4,"2023/04/02 23:00:00","2030/01/01 14:59:59",-416.5,0.0,0.0,2,10040
10040005,57,190801,1,Karin,"Great work during the event! Your efforts are always appreciated.",5,"2023/04/02 23:00:00","2030/01/01 14:59:59",-416.5,0.0,0.0,1,10040
10040006,55,190801,1,Karin,"A kind reminder from the Guild Association! Victory Medals can be exchanged for rewards!",1,"2023/04/02 23:00:00","2030/01/01 14:59:59",-363.0,0.0,5.506,2,10040
10040007,55,190801,2,Karin,"Welcome back! You can exchange Victory Medals for rewards here!",2,"2023/04/02 23:00:00","2030/01/01 14:59:59",-363.0,0.0,1.216,1,10040
10040008,56,190801,2,Karin,"Welcome back! Don't let those Victory Medals go unexchanged!",3,"2023/04/02 23:00:00","2030/01/01 14:59:59",-363.0,0.0,1.539,1,10040
10040009,56,190801,2,Karin,"That's it for the event! Those Victory Medals are proof of your efforts, though, so don't forget to exchange them!",4,"2023/04/02 23:00:00","2030/01/01 14:59:59",-363.0,0.0,1.875,1,10040
10040101,51,103301,4,Mahiru,"",101,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,4.004,1,10040
10040102,51,102601,1,Rin,"",201,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,5.52,5,10040
10040103,51,105201,5,Lima,"",301,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,3.438,1,10040
10040104,51,103801,4,Shiori,"",401,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,4.628,1,10040
10040105,51,103301,1,Mahiru,"",102,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,5.483,2,10040
10040106,51,102601,4,Rin,"",202,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,6.927,1,10040
10040107,51,105201,1,Lima,"",302,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,4.387,2,10040
10040108,51,103801,1,Shiori,"",402,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,3.582,2,10040
10040109,51,103301,1,Mahiru,"",103,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,0.0,1,10040
10040110,51,102601,1,Rin,"",203,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,5.699,2,10040
10040111,51,105201,2,Lima,"",303,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,0.0,2,10040
10040112,51,103801,2,Shiori,"",403,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,0.0,2,10040
10040113,52,103301,1,Mahiru,"",104,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,10.586,2,10040
10040114,52,102601,5,Rin,"",204,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,0.0,5,10040
10040115,52,105201,2,Lima,"",304,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,5.407,1,10040
10040116,52,103801,2,Shiori,"",404,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,0.0,2,10040
10040117,52,103301,7,Mahiru,"",105,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,7.692,2,10040
10040118,52,102601,1,Rin,"",205,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,4.989,2,10040
10040119,52,105201,1,Lima,"",305,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,0.0,1,10040
10040120,52,103801,2,Shiori,"",405,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,7.758,5,10040
10040121,52,103301,1,Mahiru,"",106,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,6.587,2,10040
10040122,52,102601,2,Rin,"",206,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,0.0,2,10040
10040123,52,105201,2,Lima,"",306,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,0.0,2,10040
10040124,52,103801,2,Shiori,"",406,"2023/04/02 23:00:00","2030/01/01 14:59:59",-285.0,8.0,0.0,2,10040
20001101,53,190801,1,Karin,"Completing missions will earn you nifty rewards! Good luck!",1,"2020/01/31 12:00:00","2030/01/01 14:59:59",-416.5,0.0,3.414,2,20001
20001102,53,190801,1,Karin,"Complete missions to earn yourself rewards!",2,"2018/01/31 12:00:00","2030/01/01 14:59:59",-416.5,0.0,3.099,2,20001
20001103,54,190801,1,Karin,"Don't forget to collect your mission rewards!",3,"2018/01/31 12:00:00","2030/01/01 14:59:59",-416.5,0.0,2.801,2,20001
20001104,54,190801,2,Karin,"You've got rewards waiting to be collected!",4,"2018/01/31 12:00:00","2030/01/01 14:59:59",-416.5,0.0,0.0,2,20001
20001105,57,190801,1,Karin,"That's it for the event! Those Victory Medals are proof of your efforts, though, so don't forget to exchange them!",5,"2018/01/31 12:00:00","2030/01/01 14:59:59",-416.5,0.0,0.0,1,20001
20001106,51,101201,1,Hatsune,"",101,"2018/02/16 15:00:00","2030/04/24 14:59:00",-285.0,8.0,3.422,2,20001
20001107,51,103801,1,Shiori,"",201,"2018/02/16 15:00:00","2030/04/24 14:59:00",-285.0,8.0,3.335,6,20001
20001108,51,101201,2,Hatsune,"",102,"2018/02/16 15:00:00","2030/04/24 14:59:00",-285.0,8.0,0.0,2,20001
