group_unit_id,group_unit_id_comment,unit_id_01,unit_id_02,unit_id_03,unit_id_04,unit_id_05,unit_id_06,unit_id_07,unit_id_08,unit_id_09,unit_id_10
100101001,"Twinkle Wish (Hiyori)",100101,108701,0,0,0,0,0,0,0,0
100201001,"Twinkle Wish (Yui)",100201,108801,0,0,0,0,0,0,0,0
100301001,"Twinkle Wish (Rei)",100301,108901,0,0,0,0,0,0,0,0
100401001,"Little Lyrical (Misogi)",100401,111201,0,0,0,0,0,0,0,0
100501001,"Nightmare (Matsuri)",100501,0,0,0,0,0,0,0,0,0
100601001,"Diabolos (Akari)",100601,0,0,0,0,0,0,0,0,0
100701001,"Diabolos (Miyako)",100701,108201,0,0,0,0,0,0,0,0
100801001,"Weissflügel: Landosol Branch (Yuki)",100801,0,0,0,0,0,0,0,0,0
100901001,"Twilight Caravan (Anna)",100901,0,0,0,0,0,0,0,0,0
101001001,"Caon (Maho)",101001,110601,0,0,0,0,0,0,0,0
101101001,"Labyrinth (Rino)",101101,0,0,0,0,0,0,0,0,0
101201001,"Forestier (Hatsune)",101201,0,0,0,0,0,0,0,0,0
101301001,"Twilight Caravan (Nanaka)",101301,0,0,0,0,0,0,0,0,0
101401001,"Caon (Kasumi)",101401,112201,0,0,0,0,0,0,0,0
101501001,"Forestier (Misato)",101501,0,0,0,0,0,0,0,0,0
101601001,"Lucent Academy (Suzuna)",101601,110001,0,0,0,0,0,0,0,0
101701001,"Caon (Kaori)",101701,110501,0,0,0,0,0,0,0,0
101801001,"Lucent Academy (Io)",101801,110101,0,0,0,0,0,0,0,0
102001001,"Little Lyrical (Mimi)",102001,111301,0,0,0,0,0,0,0,0
102101001,"Sarendia Orphanage (Kurumi)",102101,108501,0,0,0,0,0,0,0,0
102201001,"Diabolos (Yori)",102201,0,0,0,0,0,0,0,0,0
102301001,"Sarendia Orphanage (Ayane)",102301,108601,0,0,0,0,0,0,0,0
102501001,"Sarendia Orphanage (Suzume)",102501,107701,112101,0,0,0,0,0,0,0
102601001,"Elizabeth Park (Rin)",102601,0,0,0,0,0,0,0,0,0
102701001,"Twilight Caravan (Eriko)",102701,109001,0,0,0,0,0,0,0,0
102801001,"Sarendia Orphanage (Saren)",102801,110301,0,0,0,0,0,0,0,0
102901001,"Carmina (Nozomi)",102901,111601,0,0,0,0,0,0,0,0
103001001,"Weissflügel: Landosol Branch (Ninon)",103001,109601,0,0,0,0,0,0,0,0
103101001,"Diabolos (Shinobu)",103101,108101,0,0,0,0,0,0,0,0
103201001,"Mercurius Foundation (Akino)",103201,0,0,0,0,0,0,0,0,0
103301001,"Elizabeth Park (Mahiru)",103301,0,0,0,0,0,0,0,0,0
103401001,"Mercurius Foundation (Yukari)",103401,0,0,0,0,0,0,0,0,0
103601001,"Little Lyrical (Kyoka)",103601,111101,0,0,0,0,0,0,0,0
103701001,"Nightmare (Tomo)",103701,0,0,0,0,0,0,0,0,0
103801001,"Elizabeth Park (Shiori)",103801,112301,0,0,0,0,0,0,0,0
104001001,"Forestier (Aoi)",104001,110701,0,0,0,0,0,0,0,0
104201001,"Carmina (Chika)",104201,108401,0,0,0,0,0,0,0,0
104301001,"Caon (Makoto)",104301,110401,0,0,0,0,0,0,0,0
104401001,"Diabolos (Illya)",104401,111701,0,0,0,0,0,0,0,0
104501001,"Weissflügel: Landosol Branch (Kuka)",104501,109501,0,0,0,0,0,0,0,0
104601001,"Mercurius Foundation (Tamaki)",104601,107901,0,0,0,0,0,0,0,0
104701001,"Nightmare (Jun)",104701,0,0,0,0,0,0,0,0,0
104801001,"Mercurius Foundation (Mifuyu)",104801,108001,0,0,0,0,0,0,0,0
104901001,"Labyrinth (Shizuru)",104901,109101,0,0,0,0,0,0,0,0
105001001,"Lucent Academy (Misaki)",105001,108301,0,0,0,0,0,0,0,0
105101001,"Twilight Caravan (Mitsuki)",105101,0,0,0,0,0,0,0,0,0
105201001,"Elizabeth Park (Lima)",105201,0,0,0,0,0,0,0,0,0
105301001,"Weissflügel: Landosol Branch (Monika)",105301,0,0,0,0,0,0,0,0,0
105401001,"Carmina (Tsumugi)",105401,0,0,0,0,0,0,0,0,0
105501001,"Weissflügel: Landosol Branch (Ayumi)",105501,0,0,0,0,0,0,0,0,0
105601001,"Twilight Caravan (Ruka)",105601,0,0,0,0,0,0,0,0,0
105701001,"??? (Djeeta)",105701,0,0,0,0,0,0,0,0,0
105801001,"Gourmet Guild (Pecorine)",105801,107501,180401,0,0,0,0,0,0,0
105901001,"Gourmet Guild (Kokkoro)",105901,107601,111901,0,0,0,0,0,0,0
106001001,"Gourmet Guild (Karyl)",106001,107801,112001,0,0,0,0,0,0,0
106101001,"??? (Muimi)",106101,0,0,0,0,0,0,0,0,0
106301001,"??? (Arisa)",106301,0,0,0,0,0,0,0,0,0
107001001,"??? (Neneka)",107001,0,0,0,0,0,0,0,0,0
107101001,"Nightmare (Christina)",107101,111501,0,0,0,0,0,0,0,0
109201001,"Mysteria (Anne)",109201,0,0,0,0,0,0,0,0,0
109301001,"Mysteria (Lou)",109301,0,0,0,0,0,0,0,0,0
109401001,"Mysteria (Grea)",109401,0,0,0,0,0,0,0,0,0
109701001,"Re:ZERO (Rem)",109701,0,0,0,0,0,0,0,0,0
109801001,"Re:ZERO (Ram)",109801,0,0,0,0,0,0,0,0,0
109901001,"Re:ZERO (Emilia)",109901,0,0,0,0,0,0,0,0,0
110801001,"St. Theresa's Academy (Friendship Club)(Chloe)",110801,0,0,0,0,0,0,0,0,0
112401001,"New Generations (Uzuki)",112401,0,0,0,0,0,0,0,0,0
112501001,"New Generations (Rin)",112501,0,0,0,0,0,0,0,0,0
112601001,"New Generations (Mio)",112601,0,0,0,0,0,0,0,0,0
