enemy_id,unit_id,name,level,rarity,promotion_level,hp,atk,magic_str,def,magic_def,physical_critical,magic_critical,wave_hp_recovery,wave_energy_recovery,dodge,physical_penetrate,magic_penetrate,life_steal,hp_recovery_rate,energy_recovery_rate,energy_reduce_rate,union_burst_level,main_skill_lv_1,main_skill_lv_2,main_skill_lv_3,main_skill_lv_4,main_skill_lv_5,main_skill_lv_6,main_skill_lv_7,main_skill_lv_8,main_skill_lv_9,main_skill_lv_10,ex_skill_lv_1,ex_skill_lv_2,ex_skill_lv_3,ex_skill_lv_4,ex_skill_lv_5,resist_status_id,accuracy,enemy_color
710000101,600101,"Hiyori's Shadow",51,1,1,11536,1150,0,31,21,10,10,0,0,1,0,0,0,0,30,0,71,71,71,71,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000102,203200,Imp,51,1,1,13553,0,792,35,52,10,10,0,0,1,0,0,0,0,30,0,71,71,71,71,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000103,202500,"Cave Bat",51,1,1,11969,0,600,35,48,10,10,0,0,1,0,0,0,0,30,0,71,71,71,71,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000104,201200,Golem,51,1,1,12917,1047,0,300,57,10,10,0,0,1,0,0,0,0,30,0,71,71,71,71,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000105,201100,Kobold,51,1,1,10383,729,0,40,35,10,10,0,0,1,0,0,0,0,30,0,71,71,71,71,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000201,600301,"Rei's Shadow",52,1,1,13844,1150,0,32,20,10,10,0,0,1,0,0,0,0,30,0,72,72,72,72,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000202,203700,"Squirrel Gunner",52,1,1,16614,897,0,40,31,10,10,0,0,1,0,0,0,0,30,0,72,72,72,72,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000203,203500,"Drill Mole",52,1,1,17787,673,0,48,35,10,10,0,0,1,0,0,0,0,30,0,72,72,72,72,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000204,203800,Orc,52,1,1,25070,1310,0,48,35,10,10,0,0,1,0,0,0,0,30,0,72,72,72,72,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000205,202600,"Cave Snail",52,1,1,14842,0,973,31,44,10,10,0,0,1,0,0,0,0,30,0,72,72,72,72,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000301,602101,"Kurumi's Shadow",53,1,1,14709,1169,0,34,21,10,10,0,0,1,0,0,0,0,30,0,73,73,73,73,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000302,203300,"Goblin Guard",53,1,1,8081,853,0,300,40,10,10,0,0,1,0,0,0,0,30,0,73,73,73,73,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000303,202901,"Rock Lizard",53,1,1,20072,1193,0,53,35,10,10,0,0,1,0,0,0,0,30,0,73,73,73,73,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000304,202700,"Hermit Knight",53,1,1,16153,1125,0,66,53,10,10,0,0,1,0,0,0,0,30,0,73,73,73,73,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000305,203100,Wyrmling,53,1,1,14384,0,856,36,49,10,10,0,0,1,0,0,0,0,30,0,73,73,73,73,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000401,600401,"Misogi's Shadow",54,1,1,14709,1169,0,33,22,10,10,0,0,1,0,0,0,0,30,0,74,74,74,74,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000402,201200,Golem,54,1,1,18818,1246,0,300,58,10,10,0,0,1,0,0,0,0,30,0,74,74,74,74,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000403,200100,"Monkey King",54,1,1,12818,816,0,40,36,10,10,0,0,1,0,0,0,0,30,0,74,74,74,74,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000404,202200,Rabbicorn,54,1,1,18979,0,926,36,49,10,10,0,0,1,0,0,0,0,30,0,74,74,74,74,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000405,201000,"Flaming Skulls",54,1,1,18979,0,926,36,49,10,10,0,0,1,0,0,0,0,30,0,74,74,74,74,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000501,605001,"Misaki's Shadow",55,1,1,11681,0,1090,22,36,10,10,0,0,1,0,0,0,0,30,0,75,75,75,75,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000502,202901,"Rock Lizard",55,1,1,21344,1328,0,54,36,10,10,0,0,1,0,0,0,0,30,0,75,75,75,75,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000503,203100,Wyrmling,55,1,1,18407,0,866,36,49,10,10,0,0,1,0,0,0,0,30,0,75,75,75,75,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000504,203301,"Jungle Guard",55,1,1,27466,2608,0,400,70,10,10,0,0,1,0,0,0,0,30,0,75,75,75,75,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000505,204400,"Little Devil",55,1,1,14514,0,766,32,45,10,10,0,0,1,0,0,0,0,30,0,75,75,75,75,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000601,605201,"Lima's Shadow",56,1,1,20765,1069,0,47,25,10,10,0,0,1,0,0,0,0,30,0,76,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000602,600201,"Yui's Shadow",56,1,1,11032,0,1232,20,36,10,10,0,0,1,0,0,0,0,30,0,76,76,76,76,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000603,200500,"Wild Horn",56,1,1,24716,1508,0,45,36,10,10,0,0,1,0,0,0,0,30,0,76,76,76,76,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000604,202500,"Cave Bat",56,1,1,18407,0,1016,36,49,10,10,0,0,1,0,0,0,0,30,0,76,76,76,76,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000605,203500,"Drill Mole",56,1,1,20462,984,0,50,36,10,10,0,0,1,0,0,0,0,30,0,76,76,76,76,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000701,603401,"Yukari's Shadow",57,1,1,13015,1188,0,36,25,10,10,0,0,1,0,0,0,0,30,0,77,77,77,77,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000702,602201,"Yori's Shadow",57,1,1,12330,0,1200,24,38,10,10,0,0,1,0,0,0,0,30,0,77,77,77,77,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
710000703,202700,"Hermit Knight",57,1,1,18360,1400,0,66,54,10,10,0,0,1,0,0,0,0,30,0,77,77,77,77,1,0,0,0,0,0,0,0,0,0,0,0,200000001,0,0
