id,diary_id,seq_num,type,diary_text,text_animation_speed,sheet_name,cue_name,command,command_param
1010001,1,1,2,"",0,vo_10011600,vo_10011600_0101,0,0.0
1010002,1,2,1,"Apparently, ",16,0,0,0,0.0
1010003,1,3,4,"",0,0,0,1,1.625
1010004,1,4,1,"I'm transferring to St. Theresa's Academy tomorrow! ",16,0,0,0,0.0
1010005,1,5,4,"",0,0,0,1,4.0
1010006,1,6,2,"",0,vo_10011600,vo_10011600_0102,0,0.0
1010007,1,7,1,"Why...? ",16,0,0,0,0.0
1010008,1,8,4,"",0,0,0,1,1.375
1010009,1,9,1,"How in the world did it come to this?\n",16,0,0,0,0.0
1010010,1,10,4,"",0,0,0,1,3.333333333
1010011,1,11,2,"",0,vo_10011600,vo_10011600_0103,0,0.0
1010012,1,12,1,"Miss Misato says ",20,0,0,0,0.0
1010013,1,13,4,"",0,0,0,1,1.75
1010014,1,14,1,"I'll definitely be able to have a good time there, ",20,0,0,0,0.0
1010015,1,15,4,"",0,0,0,1,3.0
1010016,1,16,1,"but that's crazy talk!\n",16,0,0,0,0.0
1010017,1,17,4,"",0,0,0,1,3.875
1010018,1,18,2,"",0,vo_10011600,vo_10011600_0104,0,0.0
1010019,1,19,1,"Still... ",16,0,0,0,0.0
1010020,1,20,4,"",0,0,0,1,2.375
1010021,1,21,1,"Still. ",16,0,0,0,0.0
1010022,1,22,4,"",0,0,0,1,2.5
1010023,1,23,2,"",0,vo_10011600,vo_10011600_0105,0,0.0
1010024,1,24,1,"Still, ",16,0,0,0,0.0
1010025,1,25,4,"",0,0,0,1,1.375
1010026,1,26,1,"I suppose, ",16,0,0,0,0.0
1010027,1,27,4,"",0,0,0,1,1.5
1010028,1,28,1,"if I do try my very best to fit in at St. Theresa's...\n\n",16,0,0,0,0.0
1010029,1,29,4,"",0,0,0,1,4.875
1010030,1,30,2,"",0,vo_10011600,vo_10011600_0106,0,0.0
1010031,1,31,1,"Could I maybe ",16,0,0,0,0.0
1010032,1,32,4,"",0,0,0,1,1.583333333
1010033,1,33,1,"make some friends? ",16,0,0,0,0.0
1010034,1,34,4,"",0,0,0,1,1.75
1020001,2,1,2,"",0,vo_10011600,vo_10011600_0201,0,0.0
1020002,2,2,1,"Just hearing the fabled ""Good day"" ",16,0,0,0,0.0
1020003,2,3,4,"",0,0,0,1,2.375
1020004,2,4,1,"almost made my poor loner heart explode...\n",16,0,0,0,0.0
1020005,2,5,4,"",0,0,0,1,4.0
1020006,2,6,2,"",0,vo_10011600,vo_10011600_0202,0,0.0
1020007,2,7,1,"But then, ",16,0,0,0,0.0
1020008,2,8,4,"",0,0,0,1,1.125
1020009,2,9,1,"the BB Brigade's leader came to my rescue! ",16,0,0,0,0.0
1020010,2,10,4,"",0,0,0,1,3.75
1020011,2,11,2,"",0,vo_10011600,vo_10011600_0203,0,0.0
1020012,2,12,1,"The bonds we share ",16,0,0,0,0.0
1020013,2,13,4,"",0,0,0,1,1.875
1020014,2,14,1,"really do connect us across all of time and space!\n",16,0,0,0,0.0
1020015,2,15,4,"",0,0,0,1,3.75
1020016,2,16,2,"",0,vo_10011600,vo_10011600_0204,0,0.0
1020017,2,17,1,"What's more, ",16,0,0,0,0.0
1020018,2,18,4,"",0,0,0,1,1.0
1020019,2,19,1,"he even introduced me ",16,0,0,0,0.0
1020020,2,20,4,"",0,0,0,1,2.0
1020021,2,21,1,"to the members ",16,0,0,0,0.0
1020022,2,22,4,"",0,0,0,1,1.125
1020023,2,23,1,"of the St. Theresa's Academy (Friendship Club) guild. ",16,0,0,0,0.0
1020024,2,24,4,"",0,0,0,1,3.5
1020025,2,25,2,"",0,vo_10011600,vo_10011600_0205,0,0.0
1020026,2,26,1,"They're all so unique and full of character, ",16,0,0,0,0.0
1020027,2,27,4,"",0,0,0,1,3.0
1020028,2,28,1,"I don't think I'm worthy... ",16,0,0,0,0.0
1020029,2,29,4,"",0,0,0,1,2.833333333
1030001,3,1,2,"",0,vo_10011600,vo_10011600_0301,0,0.0
1030002,3,2,1,"Oh noooo! ",16,0,0,0,0.0
1030003,3,3,4,"",0,0,0,1,3.0
1030004,3,4,2,"",0,vo_10011600,vo_10011600_0302,0,0.0
1030005,3,5,1,"The self-introduction, bane of loners the world over! ",16,0,0,0,0.0
1030006,3,6,4,"",0,0,0,1,5.125
1030007,3,7,2,"",0,vo_10011600,vo_10011600_0303,0,0.0
1030008,3,8,1,"I practiced what I'd say a thousand times, ",20,0,0,0,0.0
1030009,3,9,4,"",0,0,0,1,2.625
1030010,3,10,1,"but still managed to mess it up! ",16,0,0,0,0.0
1030011,3,11,4,"",0,0,0,1,2.75
1030012,3,12,2,"",0,vo_10011600,vo_10011600_0304,0,0.0
1030013,3,13,1,"The moment I saw all my classmates' eyes looking at me, ",16,0,0,0,0.0
1030014,3,14,4,"",0,0,0,1,3.5
1030015,3,15,1,"my mind went blank, ",16,0,0,0,0.0
1030016,3,16,4,"",0,0,0,1,2.0
1030017,3,17,1,"and I think I started talking complete nonsense!\n",16,0,0,0,0.0
1030018,3,18,4,"",0,0,0,1,4.5
1030019,3,19,2,"",0,vo_10011600,vo_10011600_0305,0,0.0
1030020,3,20,1,"Everyone laughed it off in a friendly way, ",16,0,0,0,0.0
1030021,3,21,4,"",0,0,0,1,3.0
1030022,3,22,1,"but I'll never live this down... ",16,0,0,0,0.0
1030023,3,23,4,"",0,0,0,1,2.25
1040001,4,1,2,"",0,vo_10011600,vo_10011600_0401,0,0.0
1040002,4,2,1,"Yuni seems to be ",16,0,0,0,0.0
1040003,4,3,4,"",0,0,0,1,1.75
1040004,4,4,1,"an incredibly smart person. ",16,0,0,0,0.0
1040005,4,5,4,"",0,0,0,1,2.625
1040006,4,6,2,"",0,vo_10011600,vo_10011600_0402,0,0.0
1040007,4,7,1,"She uses so many complicated words all the time, ",16,0,0,0,0.0
1040008,4,8,4,"",0,0,0,1,3.75
1040009,4,9,1,"sometimes I can't even understand her. ",16,0,0,0,0.0
1040010,4,10,4,"",0,0,0,1,3.125
1040011,4,11,1,"Maybe I should invest in a dictionary?\n",16,0,0,0,0.0
1040012,4,12,4,"",0,0,0,1,4.0
1040013,4,13,2,"",0,vo_10011600,vo_10011600_0403,0,0.0
1040014,4,14,1,"She's a researcher at a place called the Ivory Tower, ",16,0,0,0,0.0
1040015,4,15,4,"",0,0,0,1,3.75
1040016,4,16,1,"and she seems to stay there most of the time, ",16,0,0,0,0.0
1040017,4,17,4,"",0,0,0,1,3.25
1040018,4,18,1,"so maybe she's a loner like me! ",16,0,0,0,0.0
1040019,4,19,4,"",0,0,0,1,3.375
1040020,4,20,2,"",0,vo_10011600,vo_10011600_0404,0,0.0
1040021,4,21,1,"Loners attract other loners. ",16,0,0,0,0.0
1040022,4,22,4,"",0,0,0,1,2.5
1040023,4,23,1,"That's ",16,0,0,0,0.0
1040024,4,24,4,"",0,0,0,1,1.125
1040025,4,25,1,"probably not a real saying, ",16,0,0,0,0.0
1040026,4,26,4,"",0,0,0,1,2.75
1040027,4,27,1,"but you never know...\n",16,0,0,0,0.0
1040028,4,28,4,"",0,0,0,1,2.0
1040029,4,29,2,"",0,vo_10011600,vo_10011600_0405,0,0.0
1040030,4,30,1,"Perhaps this shared connection ",16,0,0,0,0.0
1040031,4,31,4,"",0,0,0,1,2.375
1040032,4,32,1,"could help us become friends? ",16,0,0,0,0.0
1040033,4,33,4,"",0,0,0,1,2.125
1050001,5,1,2,"",0,vo_10011600,vo_10011600_0501,0,0.0
1050002,5,2,1,"Chloe is the same as me, ",16,0,0,0,0.0
1050003,5,3,4,"",0,0,0,1,1.875
1050004,5,4,1,"an elf, ",16,0,0,0,0.0
1050005,5,5,4,"",0,0,0,1,1.5
1050006,5,6,1,"but, ummm... ",16,0,0,0,0.0
1050007,5,7,4,"",0,0,0,1,1.625
1050008,5,8,1,"She's got a very ",16,0,0,0,0.0
1050009,5,9,4,"",0,0,0,1,1.375
1050010,5,10,1,"unique aura.\n",16,0,0,0,0.0
1050011,5,11,4,"",0,0,0,1,2.625
1050012,5,12,2,"",0,vo_10011600,vo_10011600_0502,0,0.0
1050013,5,13,1,"At first, I thought I might have a better chance ",16,0,0,0,0.0
1050014,5,14,4,"",0,0,0,1,3.625
1050015,5,15,1,"getting along with a fellow elf, ",16,0,0,0,0.0
1050016,5,16,4,"",0,0,0,1,2.125
1050017,5,17,1,"but I'm too scared to talk to her!\n",16,0,0,0,0.0
1050018,5,18,4,"",0,0,0,1,3.125
