stamp_id,disp_order,description,start_date,end_date
100101,4,"Go for it!","2015/04/01 14:00:00","2099/08/01 14:59:59"
100201,5,"Thank you!","2015/04/01 14:00:00","2099/08/01 14:59:59"
100301,6,"To battle!","2015/04/01 14:00:00","2099/08/01 14:59:59"
100401,7,"Mornin’!","2015/04/01 14:00:00","2099/08/01 14:59:59"
100901,8,Now!,"2015/04/01 14:00:00","2099/08/01 14:59:59"
101001,9,"Ain’t that a bother...","2015/04/01 14:00:00","2099/08/01 14:59:59"
101101,10,Roger!,"2015/04/01 14:00:00","2099/08/01 14:59:59"
101201,11,"Here goes!","2015/04/01 14:00:00","2099/08/01 14:59:59"
101601,12,Okay!,"2015/04/01 14:00:00","2099/08/01 14:59:59"
101701,13,"Don't sweat it!","2015/04/01 14:00:00","2099/08/01 14:59:59"
102001,14,"Nighty-night.. ZZZ","2015/04/01 14:00:00","2099/08/01 14:59:59"
102101,15,"Wahh! Wahh!","2015/04/01 14:00:00","2099/08/01 14:59:59"
102201,16,*shudder...*,"2015/04/01 14:00:00","2099/08/01 14:59:59"
102301,17,Hmph!,"2015/04/01 14:00:00","2099/08/01 14:59:59"
102501,18,Uh-oh!,"2015/04/01 14:00:00","2099/08/01 14:59:59"
102701,19,"Hee hee...","2015/04/01 14:00:00","2099/08/01 14:59:59"
102801,20,"Let’s go!","2015/04/01 14:00:00","2099/08/01 14:59:59"
102901,21,"I’m on it!","2015/04/01 14:00:00","2099/08/01 14:59:59"
103101,22,"GOOD EVENING.Good...","2015/04/01 14:00:00","2099/08/01 14:59:59"
103401,23,Cheers!,"2015/04/01 14:00:00","2099/08/01 14:59:59"
103601,24,"I’m reporting you!","2015/04/01 14:00:00","2099/08/01 14:59:59"
104001,25,"Go on without me...","2015/04/01 14:00:00","2099/08/01 14:59:59"
104401,26,"Follow me!","2015/04/01 14:00:00","2099/08/01 14:59:59"
104501,27,*drool...*,"2015/04/01 14:00:00","2099/08/01 14:59:59"
104601,28,Meow!,"2015/04/01 14:00:00","2099/08/01 14:59:59"
104801,29,"ＮＯ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
104901,30,Sorry!,"2015/04/01 14:00:00","2099/08/01 14:59:59"
105001,31,"Need heals!","2015/04/01 14:00:00","2099/08/01 14:59:59"
105301,32,"Hold it right there!","2015/04/01 14:00:00","2099/08/01 14:59:59"
105801,1,Heyas~!,"2015/04/01 14:00:00","2099/08/01 14:59:59"
105901,2,"Good job.","2015/04/01 14:00:00","2099/08/01 14:59:59"
106001,3,"Just you wait!","2015/04/01 14:00:00","2099/08/01 14:59:59"
