equipment_id,crafted_cost,condition_equipment_id_1,consume_num_1,condition_equipment_id_2,consume_num_2,condition_equipment_id_3,consume_num_3,condition_equipment_id_4,consume_num_4,condition_equipment_id_5,consume_num_5,condition_equipment_id_6,consume_num_6,condition_equipment_id_7,consume_num_7,condition_equipment_id_8,consume_num_8,condition_equipment_id_9,consume_num_9,condition_equipment_id_10,consume_num_10
102282,2000,122282,1,102281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102311,1500,122311,1,101281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102312,2000,122312,1,102311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102341,1500,122341,1,101581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102342,2000,122342,1,102341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102371,1500,122371,1,101371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102372,2000,122372,1,102371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102401,2000,122401,1,101401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102431,1500,122431,1,101431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102432,2000,122432,1,102431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102491,1500,122491,1,101521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102493,1500,122493,1,102311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102521,2000,122521,1,102251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102613,2000,122613,1,101611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102614,2000,122614,1,102612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103011,5000,113011,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103012,7000,113012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103013,10000,113013,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041,7000,123041,5,103071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103042,10000,123042,5,103012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103071,5000,113071,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103072,10000,123072,5,103552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103101,7000,113101,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103131,7000,113131,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103132,10000,123132,5,103131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103161,5000,123161,3,102162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103162,7000,113162,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103191,5000,113191,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103192,7000,123192,5,103191,1,102013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103193,10000,123193,5,103192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103221,5000,113221,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103222,10000,113222,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103251,5000,123251,3,102251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103252,7000,113252,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103281,5000,123281,5,102282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103282,7000,123282,5,102282,1,102312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103283,10000,113283,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103311,5000,123311,5,102312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103341,5000,123341,5,102342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103342,7000,113342,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103343,10000,123343,5,103341,1,103611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103371,7000,123371,5,102372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103372,10000,113372,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103401,7000,113401,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103431,5000,113431,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103432,7000,123432,5,103431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103461,7000,123461,5,102614,1,102432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103491,7000,123491,5,102312,1,102493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103521,5000,113521,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103522,7000,113522,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103551,5000,113551,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103552,7000,113552,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103553,10000,113553,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103581,5000,113581,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103582,7000,123582,5,102582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103583,10000,123583,5,103581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103611,5000,113611,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103612,5000,123612,5,102614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103613,7000,103611,1,102614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103614,10000,113614,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104011,20000,114011,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104012,25000,114012,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104013,30000,114013,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104014,35000,114014,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104041,20000,114041,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104042,25000,124042,20,103013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104043,30000,114043,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104044,35000,124044,20,104041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104071,20000,124071,20,103013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104072,25000,114072,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104073,30000,114073,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104074,35000,124074,20,104072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104101,20000,124101,20,103101,1,103552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104102,25000,114102,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104103,30000,124103,20,104101,1,103611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
