view_name,bg_id,event_id
SPLASH,0,0
TITLE,0,0
HOME,0,0
UNIT_TOP,530010,0
UNIT_DETAIL,530010,0
NORMAL_ARENA_TOP,500380,0
NORMAL_ARENA_RANKING,500380,0
GRAND_ARENA_TOP,500381,0
GRAND_ARENA_RANKING,500381,0
QUEST_TOP,530030,0
QUEST_MAP,0,0
QUEST_SPECIAL,500240,0
QUEST_SPECIAL_LEVEL,500240,0
DUNGEON_TOP,500400,0
DUNGEON_MAP,0,0
COOP_TOP,500250,0
COOP_MAP,500250,0
COOP_LOBBY,500250,0
COOP_LOBBY_SEARCH,500250,0
COOP_RESUME,500250,0
BATTLE,0,0
GACHA_TOP,530030,0
GACHA_SPFES_TOP,530030,0
GACHA_RESULT_PREMIUM,530041,0
GACHA_RESULT_NORMAL,530030,0
GACHA_ANIMATION,0,0
MENU,500361,0
MENU_PLAYER_PROFILE,530032,0
MENU_ITEM_LIST,500320,0
MENU_JEWEL_STORE,500370,0
MENU_ALBUM_TOP,500080,0
MENU_ALBUM_STILL_AND_MOVIE,500080,0
MENU_ALBUM_PROFILE,500080,0
MENU_ALBUM_TERM,500080,0
MENU_ALBUM_ITEM,500080,0
MENU_ALBUM_PEOPLE,500080,0
CHARACTER_ALBUM,530032,0
STORY_TOP,530030,0
STORY_MAIN_TOP,530030,0
STORY_MAIN_DETAIL,530030,0
STORY_CHARACTER_TOP,530030,0
STORY_CHARACTER_DETAIL,530030,0
STORY_GUILD_TOP,530030,0
STORY_GUILD_DETAIL,530030,0
STORY_EXTRA_TOP,530030,0
STORY_EXTRA_DETAIL,530030,0
STORY_EVENT_TOP,530030,0
STORY_EVENT_DETAIL,530030,0
STORY_EVENT_DIVISION,530030,0
STORY_EVENT_DEAR_TOP,530030,0
STORY_EVENT_DEAR_DETAIL,530030,0
STORY_EVENT_NYX_DRAMA,530030,0
STORY_EVENT_NYX_STORY,530030,0
STORY_ADVENTURE,0,0
LOGING_BONUS,0,0
CLAN_TOP,500390,0
CLAN_JOIN,500390,0
CLAN_MEMBER_LIST,500390,0
CLAN_DETAIL,500390,0
CLAN_SUPPORT,500390,0
CLAN_BATTLE_TOP,500390,0
CLAN_BATTLE_RANKING,500390,0
CLAN_BATTLE_SUBJUGATION_INFO,500390,0
CLAN_BATTLE_MYLOG,500390,0
NEW_CHARACTER_INTRODUCTION,0,0
SHOP,500370,0
MISSION,500390,0
HATSUNE_TOP,500370,0
HATSUNE_MAP,0,0
HATSUNE_MISSION,500390,0
HATSUNE_GACHA,500371,0
HATSUNE_GACHA_RESULT,500371,0
HATSUNE_DEAR_TOP,0,0
HATSUNE_DEAR_DETAIL,0,0
HATSUNE_DEAR_DETAIL_MAX,0,0
HATSUNE_DIARY,530200,0
HATSUNE_DIARY_LETTER,530201,0
HATSUNE_NYX_TOP,0,0
HATSUNE_NYX_RECORD,0,0
HATSUNE_LTO,0,0
OMP_TOP,0,0
OMP_PHOTO_MEMORY,0,0
SELECT_SKIN,530010,0
CARTOON,530030,0
TOWER_TOP,0,0
STORY_TOWER_TOP,530030,0
STORY_TOWER_DETAIL,530030,0
JUKEBOX_TOP,530050,0
JUKEBOX_CHANGE_LIST,530050,0
JUKEBOX_PURCHAES_LIST,530050,0
QUEST_UNIQUE_EQUIP,500253,0
RACE_TOP,0,0
MINI_GAME_FKE_TOP,0,0
MINI_GAME_PCT_TOP,500600,0
MINI_GAME_PCT,0,0
MINI_GAME_KMK_TOP,500713,0
MINI_GAME_KMK_BATTLE,0,0
MINI_GAME_SRT_TOP,0,0
MINI_GAME_SRT_WORD_LIST,0,0
CHARACTER_VOTE_TOP,500590,0
CHARACTER_VOTE_RESULT,500590,0
CHARACTER_VOTE_OPENING,0,0
MY_PROFILE_CARD,530032,0
CLAN_PROFILE_CARD,530032,0
EVENT_ROBO_LLAMA,710049,0
GLOBAL_RAID_RANKING,500390,0
SPACE_BATTLE,710048,0
MENU_EMBLEM,530032,0
QUEST_UNIT_EXPAND,500130,0
FRIEND_TOP,500390,0
FRIEND_LIST,500390,0
FRIEND_MANAGEMENT,500390,0
FRIEND_CAMPAIGN,500390,0
SUPPORT_UNIT,500390,0
QUEST_HIGH_RARITY_EQUIP,500721,0
MENU_ALBUM_GLOSSARY,500080,0
CLAN_BATTLE_MISSION,500390,0
FRIEND_BATTLE_TOP,500390,0
EVENT_KAISER_BATTLE,0,0
EKIDEN_TOP,530500,0
EKIDEN_INTERVIEW,530500,0
EKIDEN_HIGHLIGHT,530500,0
EKIDEN_GUILD_INTRODUCTION,530500,0
EKIDEN_INTERVIEW_MAIN,530501,0
EKIDEN_PARTY,530510,0
ARCADE_TOP,0,0
UEK_TOP,0,0
SHIORI_EVENT_SELECT,500390,0
MINI_GAME_TTK_BATTLE,0,0
MINI_GAME_TTK_TOP,0,0
MINI_GAME_TTK_RECORD,0,0
TME_TOP,0,0
MINI_GAME_PKB_PLAY,0,0
MINI_GAME_PKB_TOP,0,0
MINI_GAME_PKB_DIFFICULTY_SELECT,0,0
MINI_GAME_PKB_BATTER_SELECT,0,0
MINI_GAME_PKB_HIGHSCORE_RECORD,501100,0
MINI_GAME_PKB_PLAYER_DIRECTORY,0,0
MINI_GAME_PKB_TUTORIAL,0,0
SPECIAL_STILL_YBM,0,0
STORY_EVENT_YBM_DETAIL,530030,0
