shop_static_id,disp_oder,reward_type,reward_id,reward_num,price_group_id,visible_type,available_num,csc_available_num,limited_flag,start_time,end_time
10001,1,2,31001,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10002,2,2,31002,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10003,3,2,31003,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10004,4,2,31004,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10005,5,2,31005,1,1,1,545,0,0,"2018/09/18 15:00:00","2030/12/17 14:59:59"
10006,6,2,31006,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10007,7,2,31007,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10008,8,2,31008,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10009,9,2,31009,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10010,10,2,31010,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10011,11,2,31011,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10012,12,2,31012,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10013,13,2,31013,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10014,14,2,31014,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10015,15,2,31015,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10016,16,2,31016,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10017,17,2,31017,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10018,18,2,31018,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10020,19,2,31020,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10021,20,2,31021,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10022,21,2,31022,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10023,22,2,31023,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10025,23,2,31025,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10026,24,2,31026,1,1,1,545,0,0,"2018/03/15 15:00:00","2030/12/17 14:59:59"
10027,25,2,31027,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10028,26,2,31028,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10029,27,2,31029,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10030,28,2,31030,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10031,29,2,31031,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10032,30,2,31032,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10033,31,2,31033,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10034,32,2,31034,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10036,33,2,31036,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10037,34,2,31037,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10038,35,2,31038,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10040,36,2,31040,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10042,37,2,31042,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10043,38,2,31043,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10044,39,2,31044,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10045,40,2,31045,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10046,41,2,31046,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10047,42,2,31047,1,1,1,545,0,0,"2018/02/28 15:00:00","2030/12/17 14:59:59"
10048,43,2,31048,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10049,44,2,31049,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10050,45,2,31050,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10051,46,2,31051,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10052,47,2,31052,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10053,48,2,31053,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10054,49,2,31054,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10055,50,2,31055,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10056,51,2,31056,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10057,52,2,31057,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10058,53,2,31058,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10059,54,2,31059,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10060,55,2,31060,1,1,1,595,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10061,56,2,31061,1,1,1,400,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10063,57,2,31063,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10065,58,2,31065,1,1,1,400,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10070,58,2,31070,1,1,1,400,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10071,59,2,31071,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10075,60,2,31075,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10076,61,2,31076,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10077,62,2,31077,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10078,63,2,31078,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10079,64,2,31079,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10080,65,2,31080,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10081,66,2,31081,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10082,67,2,31082,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10083,68,2,31083,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10084,69,2,31084,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10085,70,2,31085,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10086,71,2,31086,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10087,72,2,31087,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10088,73,2,31088,1,1,1,545,1129,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10089,74,2,31089,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
10090,75,2,31090,1,1,1,545,0,0,"2015/12/17 15:00:00","2030/12/17 14:59:59"
