story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time,order,condition_free_flag,gojuon_order
1001,1,1001,Hiyori,0,45,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,8510
1002,1,1002,Yui,0,61,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,25510
1003,1,1003,Rei,0,75,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,18505
1004,1,1004,Misogi,0,53,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13590
1005,1,1005,Matsuri,0,48,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13530
1006,1,1006,Akari,0,2,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,1500
1007,1,1007,Miyako,0,58,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13605
1008,1,1008,Yuki,0,63,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,25530
1009,1,1009,Anna,0,7,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,1520
1010,1,1010,Maho,0,50,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13510
1011,1,1011,Rino,0,68,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,18540
1012,1,1012,Hatsune,0,44,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,8500
1013,1,1013,Nanaka,0,39,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,14500
1014,1,1014,Kasumi,0,15,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,11525
1015,1,1015,Misato,0,52,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13580
1016,1,1016,Suzuna,0,33,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,19565
1017,1,1017,Kaori,0,14,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,11500
1018,1,1018,Io,0,8,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,9515
1020,1,1020,Mimi,0,56,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13555
1021,1,1021,Kurumi,0,22,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,11570
1022,1,1022,Yori,0,67,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,25500
1023,1,1023,Ayane,0,4,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,1560
1025,1,1025,Suzume,0,34,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,19550
1026,1,1026,Rin,0,70,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,18525
1027,1,1027,Eriko,0,13,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,5510
1028,1,1028,Saren,0,27,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,19500
1029,1,1029,Nozomi,0,43,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,14530
1030,1,1030,Ninon,0,40,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,14520
1031,1,1031,Shinobu,0,31,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,19515
1032,1,1032,Akino,0,3,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,1510
1033,1,1033,Mahiru,0,49,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13500
1034,1,1034,Yukari,0,62,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,25525
1036,1,1036,Kyoka,0,18,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,11580
1037,1,1037,Tomo,0,38,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,20510
1038,1,1038,Shiori,0,29,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,19525
1040,1,1040,Aoi,0,1,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,1535
1042,1,1042,Chika,0,36,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,3515
1043,1,1043,Makoto,0,47,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13520
1044,1,1044,Illya,0,9,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,9500
1045,1,1045,Kuka,0,19,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,11560
1046,1,1046,Tamaki,0,35,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,20500
1047,1,1047,Jun,0,32,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,10500
1048,1,1048,Mifuyu,0,55,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13545
1049,1,1049,Shizuru,0,30,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,19535
1050,1,1050,Misaki,0,51,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13570
1051,1,1051,Mitsuki,0,54,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,13600
1052,1,1052,Lima,0,69,"2015/04/01 15:00:00","2030/12/17 14:59:59",0,0,12515
