id,item_type,category,name,max_level,enable_remove,max_possession_num,effect_id_1,shop_start,shop_end,shop_new_disp_end,cost_item_num,shop_open_type,shop_open_id,shop_open_value,sold_price,sort,condition_quest_id
1,1,101,"Karin's Table",15,1,1,1,"2015-04-01 14:00:00","","",500,0,0,0,0,900143,0
3,5,903,"Landosol Background",1,1,1,0,"2015-04-01 14:00:00","","",-1,0,0,0,0,900141,0
4,4,902,"Guildhouse Wall",1,1,1,0,"2015-04-01 14:00:00","","",-1,0,0,0,0,900140,0
5,4,902,"Transparent Wall",1,1,1,0,"2015-04-01 14:00:00","","",18000,0,0,0,9000,900139,0
6,3,901,"Transparent Flooring",1,1,1,0,"2015-04-01 14:00:00","","",18000,0,0,0,9000,900138,0
7,1,199,"Infinite Rice Ball",1,1,1,0,"2015-04-01 14:00:00","","",300,0,0,0,150,900137,0
8,1,299,"Magic Bookstand",1,1,1,0,"2015-04-01 14:00:00","","",300,0,0,0,150,900136,0
9,1,199,"Handy Stew Pot",1,1,1,0,"2015-04-01 14:00:00","","",900,0,0,0,450,900135,0
10,1,299,"Lima Costume",1,1,1,0,"2015-04-01 14:00:00","","",1500,0,0,0,750,900134,0
11,1,299,"Aroma Diffuser 1",1,1,10,0,"2015-04-01 14:00:00","","",300,0,0,0,150,900133,0
12,1,299,"Aroma Diffuser 2",1,1,10,0,"2015-04-01 14:00:00","","",300,0,0,0,150,900132,0
13,1,103,"Bookshelf 1",1,1,10,0,"2015-04-01 14:00:00","","",600,0,0,0,300,900131,0
14,1,103,"Bookshelf 2",1,1,10,0,"2015-04-01 14:00:00","","",600,0,0,0,300,900130,0
15,1,101,"Wooden Desk 1",1,1,10,0,"2015-04-01 14:00:00","","",600,0,0,0,300,900129,0
16,1,101,"Wooden Desk 2",1,1,10,0,"2015-04-01 14:00:00","","",1200,0,0,0,600,900128,0
17,1,102,"Wooden Chair",1,1,10,0,"2015-04-01 14:00:00","","",300,0,0,0,150,900127,0
18,1,102,"Wooden Stool",1,1,10,0,"2015-04-01 14:00:00","","",300,0,0,0,150,900126,0
20,1,104,"Wooden Bed",1,1,10,0,"2015-04-01 14:00:00","","",1500,0,0,0,750,900124,0
21,1,103,"Wooden Chest",1,1,10,0,"2015-04-01 14:00:00","","",600,0,0,0,300,900123,0
22,1,204,"Wooden Partition",1,1,10,0,"2015-04-01 14:00:00","","",600,0,0,0,300,900122,0
23,4,902,"Wooden Wall",1,1,1,0,"2015-04-01 14:00:00","","",1200,0,0,0,600,900121,0
24,3,901,"Wooden Flooring",1,1,1,0,"2015-04-01 14:00:00","","",1200,0,0,0,0,900120,0
25,1,904,"Wooden Upward Stairwell",1,1,3,0,"2015-04-01 14:00:00","","",-1,0,0,0,0,900119,0
26,1,904,"Wooden Downward Stairwell",1,1,3,0,"2015-04-01 14:00:00","","",-1,0,0,0,0,900118,0
27,1,101,"Mahogany Desk 1",1,1,10,0,"2015-04-01 14:00:00","","",600,0,0,0,300,900117,0
28,1,101,"Mahogany Desk 2",1,1,10,0,"2015-04-01 14:00:00","","",1200,0,0,0,600,900116,0
29,1,102,"Mahogany Chair",1,1,10,0,"2015-04-01 14:00:00","","",300,0,0,0,150,900115,0
30,1,102,"Mahogany Stool",1,1,10,0,"2015-04-01 14:00:00","","",300,0,0,0,150,900114,0
32,1,104,"Mahogany Bed",1,1,10,0,"2015-04-01 14:00:00","","",1500,0,0,0,750,900112,0
33,1,103,"Mahogany Chest",1,1,10,0,"2015-04-01 14:00:00","","",600,0,0,0,300,900111,0
34,1,204,"Mahogany Partition",1,1,10,0,"2015-04-01 14:00:00","","",600,0,0,0,300,900110,0
35,4,902,"Mahogany Wall",1,1,1,0,"2015-04-01 14:00:00","","",1200,0,0,0,600,900109,0
36,3,901,"Mahogany Flooring",1,1,1,0,"2015-04-01 14:00:00","","",1200,0,0,0,600,900108,0
37,1,904,"Mahogany Upward Stairwell",1,1,3,0,"2015-04-01 14:00:00","","",1500,0,0,0,750,900107,0
38,1,904,"Mahogany Downward Stairwell",1,1,3,0,"2015-04-01 14:00:00","","",1500,0,0,0,750,900106,0
39,1,101,"Pink Desk 1",1,1,10,0,"2015-04-01 14:00:00","","",600,0,0,0,300,900105,0
40,1,101,"Pink Desk 2",1,1,10,0,"2015-04-01 14:00:00","","",1200,0,0,0,600,900104,0
41,1,102,"Pink Chair",1,1,10,0,"2015-04-01 14:00:00","","",300,0,0,0,150,900103,0
42,1,102,"Pink Stool",1,1,10,0,"2015-04-01 14:00:00","","",300,0,0,0,150,900102,0
43,1,102,"Pink Couch",1,1,10,0,"2015-04-01 14:00:00","","",900,0,0,0,450,900101,0
44,1,102,"Pink Loveseat",1,1,10,0,"2015-04-01 14:00:00","","",1200,0,0,0,600,900100,0
