drop_reward_id,drop_count,reward_type_1,reward_id_1,reward_num_1,odds_1,reward_type_2,reward_id_2,reward_num_2,odds_2,reward_type_3,reward_id_3,reward_num_3,odds_3,reward_type_4,reward_id_4,reward_num_4,odds_4,reward_type_5,reward_id_5,reward_num_5,odds_5
11001011,1,4,101011,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001012,1,4,101281,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001013,1,4,101581,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001021,1,4,101251,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001022,1,4,101521,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001023,1,4,101551,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001031,1,4,101161,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001032,1,4,101431,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001033,1,4,101611,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001041,1,4,101101,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001042,1,4,101371,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001043,1,4,101551,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001051,1,4,101161,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001052,1,4,101521,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001053,1,4,101011,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001061,1,4,101071,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001062,1,4,101431,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001063,1,4,101401,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001071,1,4,101191,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001072,1,4,101251,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001073,1,4,101611,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001081,1,4,101101,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001082,1,4,101281,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001083,1,4,122311,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
11001091,1,4,101131,1,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
