id,unit_id,trigger,voice_id,beloved_step,time,face_id,description,insert_word_type
1,100101,1,1,1,0,1,"No one in need of any help around here, is there? Whew! ♪",0
2,100101,1,2,1,0,1,"Adventuring needs proper prep! Alright, good to go! ...Oh wait!",0
3,100101,1,3,1,0,1,"Feel the rhythm... One, two, one, two! Yeah, that's the way!",0
4,100101,1,4,1,0,1,"Can I train here? I promise not to break anything!",0
5,100101,1,5,1,0,1,"I'm a bit restless. Could someone nearby be in need of help?",0
6,100101,1,101,4,0,1,"Eheheh... Thanks for always being there for me!",0
7,100101,1,102,8,0,1,"I remember your voice, Mr. Knight. Thanks again!",0
8,100101,2,1,1,0,1,"Ahahah! You're the worst! I'm gonna make you pay! *tickle, tickle*",0
9,100101,2,2,1,0,1,"What's the matter? Troubled? Leave it to me!",0
10,100101,2,3,1,0,1,"Ummm. Hands off the tail, okay?",0
11,100101,2,4,1,0,1,"I'm training to not react, but it's no good! It's so frustrating!",0
12,100101,2,101,4,0,1,"Pfwhat fwa? You got me again! Leave my cheeks alone!",0
13,100101,2,102,8,0,1,"Eheheh... Mr. Knight, your hand... It's so warm. ♪",0
14,100101,2,1,1,1,1,"Morning! Let's get this day started!",0
15,100101,2,2,1,2,1,"Maybe I can get Yui to make me a snack? ♪",0
16,100101,2,3,1,3,1,"The other day Rei told me that sleeping is training, too.",0
17,100101,3,1,1,0,1,"I need to take care of my wounds so they don't scar.",0
18,100101,3,2,1,0,1,"If I stop and rest now, everything will just get put off until later...",0
19,100101,3,3,1,0,1,"I need a new training partner... I'm kidding, I'm kidding! It was just a joke!",0
20,100101,3,4,1,0,1,"That's really relaxing. I can feel my mind and body loosening up. ♪",0
21,100101,3,5,1,0,1,"All this heat is making me want to curl up into a ball.",0
22,100101,3,6,1,0,1,"Who knows what will happen and when? That's why I gotta get stronger!",0
23,100101,3,7,1,0,1,"I love the flavor, but I'd better take care not to eat too much!",0
24,100101,3,8,1,0,1,"All this text is making my eyelids heavy... Wuh-oh! Wake up, Hiyori!",0
26,100102,1,1,1,0,1,"Feel the rhythm... One, two, one, two! Yeah, that's the way!",0
27,100102,1,2,1,0,1,"It's a bit boring lazing around today... Wanna play a game?",0
28,100102,1,3,1,0,1,"I don't really like staying home alone... I get too lonely.",0
29,100102,1,4,1,0,1,"Can I call my friends, too? I'm sure it'll be fun!",0
30,100102,1,5,1,0,1,"No one is in need of help? ...I'm not sure what to do with myself now.",0
31,100102,1,101,8,0,1,"I remember your voice, Mr. Knight. Thanks again!",0
32,100102,1,102,8,0,1,"Why do I only have eyes for you, Mr. Knight?",0
33,100102,2,1,1,0,1,"I'm training to not react, but it's no good! It's so frustrating!",0
34,100102,2,2,1,0,1,"Is touching me that much fun? ...Okay, but just a little bit.",0
35,100102,2,3,1,0,1,"Let me give you some of my positive energy! Go! Go! Let's go! ♪",0
36,100102,2,4,1,0,1,"Why am I so itchy?! Oh, it's you, Mr. Knight. What's up?",0
37,100102,2,101,8,0,1,"Ack! Hey, hands off the tail! I'll bonk your head next time!",0
38,100102,2,102,8,0,1,"Eheheh... Mr. Knight, your hand... It's so warm. ♪",0
39,100102,2,1,1,1,1,"Breakfast and exercise! Those are the secrets to my vim and vigor!",0
40,100102,2,2,1,2,1,"Maybe I can get Yui to make me a snack? ♪",0
41,100102,2,3,1,3,1,"The other day Rei told me that sleeping is training, too.",0
42,100102,3,1,1,0,1,"That'll do it. ♪ I wonder if Mr. Knight will notice...",0
43,100102,3,2,1,0,1,"If I stop and rest now, everything will just get put off until later...",0
44,100102,3,3,1,0,1,"I need a new training partner... I'm kidding, I'm kidding! It was just a joke!",0
45,100102,3,4,1,0,1,"These kinda things catch your attention and you just can't stop staring.",0
46,100102,3,5,1,0,1,"All this heat is making me want to curl up into a ball.",0
47,100102,3,6,1,0,1,"Who knows what will happen and when? That's why I gotta get stronger!",0
48,100102,3,7,1,0,1,"I can't seem to muster up any energy when I'm hungry...",0
49,100102,3,8,1,0,1,"Knowing all kinds of things is very important!",0
51,100201,1,1,1,0,1,"Now that the cleaning is done, I guess I'll fold the laundry.",0
52,100201,1,2,1,0,1,"I need to tell him exactly how I feel...",0
53,100201,1,3,1,0,1,"I'm thinking of brewing some tea. Anyone else want some?",0
54,100201,1,4,1,0,1,"I might not be great on the battlefield, but in the kitchen...",0
55,100201,1,5,1,0,1,"I hope things stay peaceful, like now.",0
56,100201,1,101,4,0,1,"I... think I will try show more courage from now on.",0
57,100201,1,102,8,0,1,"I love everyone! And you too, of course, Mr. Knight. A-as a friend!",0
58,100201,2,1,1,0,1,"Eep! W-was that you? You spooked me.",0
59,100201,2,2,1,0,1,"Boys are just so big... Like their hands... and other stuff.",0
60,100201,2,3,1,0,1,"If something's bothering you, you can always talk to me",0
61,100201,2,4,1,0,1,"Huh! A-a bug?! Brush it off! Quickly!",0
62,100201,2,101,4,0,1,"Hey... I want to go out somewhere with you... Would that be okay?",0
63,100201,2,102,8,0,1,"I have something really important to tell you... b-but let's save it for next time!",0
64,100201,2,1,1,1,1,"M-morning! Umm... Did you already eat breakfast?",0
65,100201,2,2,1,2,1,"Time for lunch break. Um... Would you like to eat a bento box?",0
66,100201,2,3,1,3,1,"We went late tonight, huh? Let's work hard tomorrow, too. *yawn*",0
67,100201,3,1,1,0,1,"Okay... Maybe this will get me some compliments?",0
68,100201,3,2,1,0,1,"Working hard is important, but so is resting.",0
69,100201,3,3,1,0,1,"How cute. Let me try making one. First, the materials...",0
70,100201,3,4,1,0,1,"I wish I could stay calm like this before battle, too.",0
71,100201,3,5,1,0,1,"Uhuh? Di-did I just fall asleep?",0
72,100201,3,6,1,0,1,"I need to get strong if I'm going on adventures with you!",0
73,100201,3,7,1,0,1,"When something tastes good, I always eat too much... Is that... normal?",0
74,100201,3,8,1,0,1,"I see. This makes the magic even stronger.",0
76,100202,1,1,1,0,1,"Which should I do first, the cleaning or the laundry?",0
77,100202,1,2,1,0,1,"I need to buy some new spellbooks so I can learn even more spells.",0
78,100202,1,3,1,0,1,"I'm thinking of brewing some tea. Anyone else want some?",0
79,100202,1,4,1,0,1,"What should I try cooking today?",0
80,100202,1,5,1,0,1,"I need to tell him exactly how I feel...",0
81,100202,1,101,8,0,1,"I love everyone! And you too, of course, Mr. Knight. A-as a friend!",0
82,100202,1,102,8,0,1,"Being around you is all it takes to make me happy.",0
83,100202,2,1,1,0,1,"Um, well... I feel so embarrassed doing this in a place like this.",0
84,100202,2,2,1,0,1,"Huh! A-a bug?! Brush it off! Quickly!",0
85,100202,2,3,1,0,1,"Well, um... The truth is, Mr. Knight, I... No, forget it. It's nothing.",0
86,100202,2,4,1,0,1,"Boys are just so big... Like their hands... and other stuff.",0
87,100202,2,101,8,0,1,"I have something really important to tell you... b-but let's save it for next time!",0
88,100202,2,102,8,0,1,"*giggle * Hey, that tickles! Don't poke me there.",0
89,100202,2,1,1,1,1,"Morning. Slept well? ♪ Let's do our best today! ♪",0
90,100202,2,2,1,2,1,"I'm hungry... Oh, Mr. Knight. Would you like to eat lunch with me?",0
91,100202,2,3,1,3,1,"It's so late... I'd better get to bed. Good night.",0
92,100202,3,1,1,0,1,"Okay... Maybe this will get me some compliments?",0
93,100202,3,2,1,0,1,"Working hard is important, but so is resting.",0
94,100202,3,3,1,0,1,"How cuuute! ♪ Is this the sort of stuff you like, Mr. Knight?",0
95,100202,3,4,1,0,1,"I wish I could stay calm like this before battle, too.",0
96,100202,3,5,1,0,1,"Umm! W-would you like to go with me on a...",0
