id,diary_id,seq_num,type,line_num,start_pos,end_pos,seek_time,sheet_name,cue_name,command,command_param
1150001,15,1,2,0,0,0,0.0,vo_10011600,vo_10011600_1501,0,0.0
1150002,15,2,1,1,0,240,1.2,0,0,0,0.0
1150003,15,3,4,1,0,0,0.0,0,0,1,2.497403
1150004,15,4,2,0,0,0,0.0,vo_10011600,vo_10011600_1502,0,0.0
1150005,15,5,1,2,0,180,0.848052,0,0,0,0.0
1150006,15,6,4,2,0,0,0.0,0,0,1,0.848052
1150007,15,7,2,0,0,0,0.0,vo_10011600,vo_10011600_1503,0,0.0
1150008,15,8,1,2,180,460,1.163636364,0,0,0,0.0
1150009,15,9,4,2,0,0,0.0,0,0,1,1.963636
1150010,15,10,2,0,0,0,0.0,vo_10011600,vo_10011600_1504,0,0.0
1150011,15,11,1,3,0,500,2.077922078,0,0,0,0.0
1150012,15,12,4,3,0,0,0.0,0,0,1,3.477922
1150013,15,13,2,0,0,0,0.0,vo_10011600,vo_10011600_1505,0,0.0
1150014,15,14,1,4,0,395,1.246753247,0,0,0,0.0
1150015,15,15,4,4,0,0,0.0,0,0,1,2.246753
1150016,15,16,2,0,0,0,0.0,vo_10011600,vo_10011600_1506,0,0.0
1150017,15,17,1,4,395,770,1.953246753,0,0,0,0.0
1150018,15,18,4,4,0,0,0.0,0,0,1,1.953247
1150019,15,19,2,0,0,0,0.0,vo_10011600,vo_10011600_1507,0,0.0
1150020,15,20,1,5,0,430,2.277922078,0,0,0,0.0
1150021,15,21,4,5,0,0,0.0,0,0,1,2.977922
1150022,15,22,2,0,0,0,0.0,vo_10011600,vo_10011600_1508,0,0.0
1150023,15,23,1,5,430,770,1.85,0,0,0,0.0
1150024,15,24,4,5,0,0,0.0,0,0,1,2.022078
1150025,15,25,2,0,0,0,0.0,vo_10011600,vo_10011600_1509,0,0.0
1150026,15,26,1,6,0,245,1.32987013,0,0,0,0.0
1150027,15,27,4,6,0,0,0.0,0,0,1,2.57987
1150028,15,28,2,0,0,0,0.0,vo_10011600,vo_10011600_1510,0,0.0
1150029,15,29,1,6,245,770,2.1,0,0,0,0.0
